Group,TranOrderWtoE,TranDistWtoE_m
PU05_01,1,0
PU05_02,1,0
PU04_01,2,4
PU04_02,2,4
PU04_03,2,4
PU04_04,2,4
PU04_05,2,4
PU04_06,2,4
PU04_07,2,4
PU03_01,3,8
PU03_02,3,8
PU03_03,3,8
PU03_04,3,8
PU03_05,3,8
PU03_06,3,8
PU03_07,3,8
PU03_08,3,8
PU02_01,4,12
PU02_02,4,12
PU02_03,4,12
PU02_04,4,12
PU02_05,4,12
PU02_06,4,12
PU02_07,4,12
PU01_01,5,16
PU01_02,5,16
PU01_03,5,16
PU01_04,5,16
PU01_05,5,16
PU01_06,5,16
PRDT09_01,6,36
PRDT09_02,6,36
PRDT09_03,6,36
PRDT09_04,6,36
PRDT09_05,6,36
PRDT09_06,6,36
PRDT08_01,7,40
PRDT08_02,7,40
PRDT07_01,8,44
PRDT07_02,8,44
PRDT07_03,8,44
PRDT07_04,8,44
PRDT06_01,9,48
PRDT06_02,9,48
PRDT06_03,9,48
PRDT06_04,9,48
PRDT05_01,10,52
PRDT05_02,10,52
PRDT05_03,10,52
PRDT05_04,10,52
PRDT05_05,10,52
PRDT05_06,10,52
PRDT10_01,11,89
PRDT10_02,11,89
PRDT10_03,11,89
PRDT10_04,11,89
PRDT10_05,11,89
PRDT04_01,12,93
PRDT04_02,12,93
PRDT04_03,12,93
PRDT04_04,12,93
PRDT04_05,12,93
PRDT03_01,13,97
PRDT03_03,13,97
PRDT03_04,13,97
PRDT03_05,13,97
PRDT02_01,14,101
PRDT02_02,14,101
PRDT02_03,14,101
PRDT02_04,14,101
PRDT02_05,14,101
PRDT02_07,14,101
PRDT01_01,15,105
PRDT01_02,15,105
PRDT01_03,15,105
PRDT01_04,15,105
PRDT01_05,15,105
PRDT01_06,15,105
PRDT01_07,15,105
ZS01_01,16,126
ZS01_02,16,126
ZS01_03,16,126
ZS01_04,16,126
ZS01_05,16,126
ZS01_06,16,126
ZS02_01,17,130
ZS02_02,17,130
ZS02_03,17,130
ZS02_04,17,130
ZS02_05,17,130
ZS02_06,17,130
ZS03_01,18,134
ZS03_02,18,134
ZS03_03,18,134
ZS03_04,18,134
ZS03_05,18,134
ZS04_01,19,138
ZS04_02,19,138
ZS04_03,19,138
ZS04_04,19,138
ZS04_05,19,138
ZS04_06,19,138
ZS05_01,20,142
ZS05_02,20,142
ZS05_03,20,142
ZS05_04,20,142
ZS05_05,20,142
ZS05_06,20,142
ZS05_07,20,142
ZS06_01,21,146
ZS06_02,21,146
ZS06_03,21,146
ZS06_04,21,146
ZS06_05,21,146
ZS07_01,22,150
ZS07_02,22,150
ZS07_03,22,150
ZS08_01,23,154
ZS08_02,23,154
ZS08_03,23,154
ZS08_04,23,154
ZS08_05,23,154
ZS09_01,24,158
ZS09_02,24,158
ZS09_03,24,158
ZS09_04,24,158
ZS09_05,24,158
ZS09_06,24,158
ZS09_07,24,158
ZS10_01,25,162
ZS10_02,25,162
ZS10_03,25,162
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
